appId,reviewId,userName,score,content,thumbsUpCount,at
com.unknown.newapp.0,cb429fdd-018d-4556-8d04-07990504a3a3,Jason Rikhotso,5,loveing this ??? mixed-language test,0,2026-02-05 12:52:25
com.google.android.apps.labs.language.tailwind,aa9c60c4-f482-4fe5-bf0b-b5e7e147c3ac,Katlego Sebothoma (Jolene),5,this is the best app ever 🙌 ❤️,0,2026-02-05 12:12:59
com.google.android.apps.labs.language.tailwind,5c47d174-4b7a-4b32-afed-f0f3b7f5b6b6,Christopher Engelhardt (Mikkel Creates),5,excellent and super useful.,0,2026-02-05 11:35:32
com.google.android.apps.labs.language.tailwind,5b1399c9-6d89-4a5b-97aa-2680e13793ed,Samuel,5,"its a wonder app,helps me study",0,2026-02-05 09:45:40
com.google.android.apps.labs.language.tailwind,e3b3fd98-bf2e-4a4c-9f76-02606b4b24ed,Abdelhfeez Habeeb,5,most give it lesson by lesson not all chapter,0,2026-02-05 09:31:26
com.google.android.apps.labs.language.tailwind,ba585e7d-b548-40ab-a9f4-2abeba8afac4,D Lin,4,even if you don't have the sources just tell it what to look for and search around that topic,0,2026-02-05 08:45:14
com.google.android.apps.labs.language.tailwind,536d88ea-d8e0-496e-b1e2-d43e34df6237,Hameeda Khalid,5,"This is such an amazing app, the podcast is the best to listen to, and the fact everything is free makes it 100 times better, I used to be a D student and taking pics of my long answers in book and sending it to the notebook LM, it created such a good podcast it feels like a the two greatest professors in the world are discussing about this topic and it reduces time for me to memorize questions then it usually takes, btw I got A on that exam",0,2026-02-05 08:39:09
com.google.android.apps.labs.language.tailwind,0296daf2-dbed-46d2-b8cd-847f1516de14,Ashvath Taliyan,5,it s absolutely free I never rate app 5 star but this is,0,2026-02-05 08:37:06
com.google.android.apps.labs.language.tailwind,d8ba77d7-ff34-4736-8c33-139d98e30d38,Deborah Bajimi,5,kinda cool,0,2026-02-05 08:24:23
com.google.android.apps.labs.language.tailwind,bdc0479e-57f8-45bc-b496-6a6d7d00543f,James Chun,5,Useful for so many things.,0,2026-02-05 08:18:04
com.google.android.apps.labs.language.tailwind,6b029f37-53f2-4f45-95e7-0b028d9eea87,Harshika Sharma,5,the best yet . I am just a student of grade 10th and this has helped me so much in understanding the concepts clearly so many variety of features which are wonderful I think it should be a non negotiable for students,0,2026-02-05 08:09:19
com.google.android.apps.labs.language.tailwind,b29db7a7-1c91-4d33-9d6b-0b075ba0b945,natn ael,5,እጅግ በጣም ምርጥ መተግበሪያ ነው። በተለይ ተማሪዎችን በብዙ መንገድ ያግዛል። እኔንም በብዙ ጠቅሞኛል። አመሰግናለሁ።,0,2026-02-05 07:45:02
com.google.android.apps.labs.language.tailwind,4c37de18-735e-4d6c-8b34-c1667ff23e68,Steve (sc),1,"Cannot add documents from Google Drive. And what's even worse, whenever your internet connection drops when sending a message, your message will completely disappear, so you can't even copy it to retry.",1,2026-02-05 07:16:17
com.google.android.apps.labs.language.tailwind,1fd35a76-04d1-4103-bbb1-b0bcaf64157f,Prabhanjan Borkar,5,Simply amazing!!! It's like a Swiss Army Knife - does all things from audio podcasts to mindmaps and much more,0,2026-02-05 06:46:42
com.google.android.apps.labs.language.tailwind,d723f065-3156-4a18-a499-f6b0bf53fc19,bajmeer alam,5,superb,0,2026-02-05 06:33:57
com.google.android.apps.labs.language.tailwind,bccda486-3f18-4e42-85da-b0149235278c,Ekpeyoung Emmanuel,5,It was hard but I bad it,0,2026-02-05 06:15:07
com.google.android.apps.labs.language.tailwind,934966b3-ae4e-462e-a19e-1f037b158f76,RIshon Fullterton,5,best tool for studying ever made,0,2026-02-05 06:04:36
com.google.android.apps.labs.language.tailwind,9812dc2d-85e6-433f-b2af-96991b2062ca,Prof. Sanjiv Kumar Gupta,5,Revolutionary! The power of AI is here. ??? mixed-language test,0,2026-02-05 06:03:06
com.google.android.apps.labs.language.tailwind,7c41f78a-a917-41e5-860d-ba09dad67cd4,Alvin,5,The best AI research tool with the minimum AI hallucination! Answers are pretty accurate and humane response. Amazing! 😍 keep up the great work! No doubt that Google will be the global no 1 AI leader very soon 🥳👍🏻,0,2026-02-05 05:08:28
com.google.android.apps.labs.language.tailwind,cb3b5548-eadb-4e7d-b80e-0db6f7e3fc0d,Alfiya Khan,4,It's absolutely amazing that u need while studying.,0,2026-02-05 05:02:03
com.google.android.apps.labs.language.tailwind,efc5fbeb-7ae3-499f-bd67-b1421d672a4a,KC Jones,5,this AI program is absolutely incredible! The most amazing software I've ever operated in my life!!!,0,2026-02-05 04:59:33
com.google.android.apps.labs.language.tailwind,379b5857-136e-4550-b3b6-d50da59bda35,Chris Smith,5,so useful,0,2026-02-05 04:53:44
com.google.android.apps.labs.language.tailwind,4ed8bc62-3b00-4a0f-a207-d6db986e28c8,Vivek Kumar,3,good,0,2026-02-05 04:24:49
com.google.android.apps.labs.language.tailwind,9a884b6b-d67c-46d8-9fac-3b7607c03e6b,Asjad Noyan Syed,5,"Amazing for learning at the deepest level, I liked it.",0,2026-02-05 04:16:57
com.google.android.apps.labs.language.tailwind,f9fcfe8d-7ec9-4556-8a16-b8d145812774,Mahi Patel,5,"In today’s fast-paced digital world, the ability to organize information and present it creatively has become essential. NotebookLM emerges as a powerful and world-class application that transforms the way users interact with knowledge. Designed with innovation at its core, the app offers advanced facilities for generating visually appealing presentations, photographic representations, and intelligent summaries, making learning and content creation both efficient and engaging . Just besttesttt",0,2026-02-05 03:42:03
com.unknown.newapp.25,63121684-4763-48b2-b9e7-e333e8718de1,Naung Yoe Tun,5,useful,0,2026-02-05 03:05:31
com.google.android.apps.labs.language.tailwind,46f03731-7d3e-4104-a9ae-eaa959b3e868,Kinoski Dave,5,It's what I've been looking for it's makes studying soon easy 🥹🥹,0,2026-02-05 01:51:50
com.google.android.apps.labs.language.tailwind,b47a3858-cc0b-4dc7-a499-79d458b5499b,FinnPotato,5,This is a damn great program and an actually great way to integrate AI into studies. This is what I needed.,0,2026-02-05 01:13:17
com.google.android.apps.labs.language.tailwind,9ea77d6c-a9f0-41a5-9dde-a64af4fafab3,Himid Maroof,5,"Creating **faceless YouTube channels** is a viable career in **digital marketing**. Using **AI tools** for research and voiceovers allows creators to target high-revenue **premium audiences**. Success requires **ethical content**, **fair use**, and **viewer satisfaction** to ensure long-term growth.",0,2026-02-05 00:57:13
com.google.android.apps.labs.language.tailwind,a40427a4-2d10-4875-9291-3bb705236126,Cesar Bellinati,5,"Excepcional, melhor ferramenta de aprendizado da atualidade.",0,2026-02-05 00:25:28
com.google.android.apps.labs.language.tailwind,532e7896-bf2b-4235-8ebd-6bf395e60612,Eric Cronwright,5,Thank you Thank you Thank you A truly powerful and useful tool,0,2026-02-04 22:37:53
com.google.android.apps.labs.language.tailwind,15418b70-43da-448c-9e07-432aba1cfb74,Shridhar Irali,5,notebooklm is excellent i am using lots of time to understand every concept of my syllabus. learning through is very good and easy to understand. video learning is also good but it cannot support other languages like Hindi and kannada. if it is provided then notebooklm is my faculty.,0,2026-02-04 22:00:07
com.google.android.apps.labs.language.tailwind,0592c79b-918a-45b8-8c75-9fe61ccd9b65,Sredoje Subotic,5,Very good app!,0,2026-02-04 21:16:34
com.google.android.apps.labs.language.tailwind,566b097d-0073-4e19-b7ba-99069258de4a,MOSTOFA ok,5,adorable but I need Bangla infographic,0,2026-02-04 21:01:12
com.google.android.apps.labs.language.tailwind,0f5512a2-5c87-4f8a-bb58-bb5e1b1a90d4,Іоанн Роса,5,ідеальне для навчання рекомендую ??? mixed-language test,0,2026-02-04 20:16:43
com.google.android.apps.labs.language.tailwind,3733fee5-68de-4859-b57e-f8acfd606057,Paul unogwu King,3,GREAT APPLICATION. WHY NOT READ OUT THE SOURCE AND CREATOR AND AUTHOR OF THE NOTE.,0,2026-02-04 20:04:05
com.google.android.apps.labs.language.tailwind,c37825c5-a0b5-4065-b55d-dfba0ce30371,Dave Wilkins,5,what an awesome way to diversify learning.,0,2026-02-04 19:46:55
com.google.android.apps.labs.language.tailwind,06f11998-db54-4b79-b8e5-ce09519e40b3,kaushal pophale,1,After clicking on the slide deck icon why does it make an audio version along with slides? I am facing this issue please help me to solve it.,0,2026-02-04 19:35:19
